,Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
10,Chapter Three: The Pollywog,2017,TV-14,27 Oct 2017,2,3,51 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, Justin Doble","Winona Ryder, David Harbour, Finn Wolfhard","Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY1NDMxMDI0M15BMl5BanBnXkFtZTgwNDc4MzcyNDM@._V1_SX300.jpg,[],N/A,N/A,14995,tt6020796,tt4574334,episode,True
11,Chapter Four: Will the Wise,2017,TV-14,27 Oct 2017,2,4,46 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjczNzczOTIxNl5BMl5BanBnXkFtZTgwNTA5MzcyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,14705,tt6020802,tt4574334,episode,True
12,Chapter Five: Dig Dug,2017,TV-14,27 Oct 2017,2,5,58 min,"Drama, Fantasy, Horror",Andrew Stanton,"Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","Nancy and Jonathan swap conspiracy theories with a new ally as Eleven searches for someone from her past. ""Bob the Brain"" tackles a difficult problem.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzhkNzlkMDgtM2QwMy00NzVlLTk2NDEtODRiNzRkNzdlYzMzXkEyXkFqcGdeQXVyNzQ0MDUyMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,15138,tt6020806,tt4574334,episode,True
13,Chapter Six: The Spy,2017,TV-14,27 Oct 2017,2,6,51 min,"Drama, Fantasy, Horror",Andrew Stanton,"Matt Duffer, Ross Duffer, Kate Trefry","Winona Ryder, David Harbour, Finn Wolfhard","Will's connection to a shadowy evil grows stronger but no one's quite sure how to stop it. Elsewhere, Dustin and Steve forge an unlikely bond.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmYwMmM1NGMtM2I4ZC00MTcxLTgxNDgtN2Y1OTM3YjMxZGViXkEyXkFqcGdeQXVyNzQ0MDUyMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,16215,tt6020808,tt4574334,episode,True
14,Chapter Seven: The Lost Sister,2017,TV-14,27 Oct 2017,2,7,45 min,"Drama, Fantasy, Horror",Rebecca Thomas,"Matt Duffer, Ross Duffer, Justin Doble","Winona Ryder, David Harbour, Finn Wolfhard",Psychic visions draw Eleven to a band of violent outcasts and an angry girl with a shadowy past.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDY0OTkzY2MtZGVjOS00NTVlLWExNDAtM2M1ZjczNDVhZWI0XkEyXkFqcGdeQXVyNzQ0MDUyMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,23429,tt6020810,tt4574334,episode,True
15,Chapter Eight: The Mind Flayer,2017,TV-14,27 Oct 2017,2,8,47 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","An unlikely hero steps forward when a deadly development puts the Hawkins lab on lockdown, trapping Will and several others inside.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODkzMjEzODUxM15BMl5BanBnXkFtZTgwMDU4MzcyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",N/A,9.3,17667,tt6020812,tt4574334,episode,True
16,Chapter Nine: The Gate,2017,TV-14,27 Oct 2017,2,9,62 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard",Eleven makes plans to finish what she started while the survivors turn up the heat on the monstrous force that's holding Will hostage.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTYzNjAyMDMwMV5BMl5BanBnXkFtZTgwNDk3MzcyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,19918,tt6020876,tt4574334,episode,True
17,"Chapter One: Suzie, Do You Copy?",2019,TV-14,04 Jul 2019,3,1,50 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","Summer brings new jobs and budding romance. But the mood shifts when Dustin's radio picks up a Russian broadcast, and Will senses something is wrong.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmRhMWVlNjYtZTA0MC00MjNiLWI1MGQtZTRhNzNmNmJiNDNjXkEyXkFqcGdeQXVyODExNTExMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,17610,tt7445494,tt4574334,episode,True
18,Chapter Two: The Mall Rats,2019,TV-14,04 Jul 2019,3,2,50 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","Nancy and Jonathan follow a lead, Steve and Robin sign on to a secret mission, and Max and Eleven go shopping. A rattled Billy has troubling visions.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWVmZTVmZTMtNjM5YS00ZWFkLTljODktYjE3ZWFmMTNkNjgzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,15693,tt7640050,tt4574334,episode,True
19,Chapter Three: The Case of the Missing Lifeguard,2019,TV-14,04 Jul 2019,3,3,49 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, William Bridges","Winona Ryder, David Harbour, Finn Wolfhard","With El and Max looking for Billy, Will declares a day without girls. Steve and Dustin go on a stakeout, and Joyce and Hopper return to Hawkins Lab.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWM1OWMwNTQtOTljZi00OTA4LWJiNTQtY2JkN2MwYTlhN2NmXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,15216,tt7911866,tt4574334,episode,True
20,Chapter Four: The Sauna Test,2019,TV-14,04 Jul 2019,3,4,52 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, Kate Trefry","Winona Ryder, David Harbour, Finn Wolfhard","A code red brings the gang back together to face a frighteningly familiar evil. Karen urges Nancy to keep digging, and Robin finds a useful map.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzVhZTVhNDItZGYzYy00MzcwLWFlODYtZjhmNGQyNTQyZTRkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,16362,tt7911884,tt4574334,episode,True
21,Chapter Five: The Flayed,2019,TV-14,04 Jul 2019,3,5,51 min,"Drama, Fantasy, Horror",Uta Briesewitz,"Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","Strange surprises lurk inside an old farmhouse and deep beneath the Starcourt Mall. Meanwhile, the Mind Flayer is gathering strength.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDhlNmMyOGQtMDU0Ni00OTVlLWI0NmYtNjBkMTM3MzcwMzZlXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,14764,tt7911894,tt4574334,episode,True
22,Chapter Six: E Pluribus Unum,2019,TV-14,04 Jul 2019,3,6,59 min,"Drama, Fantasy, Horror",Uta Briesewitz,"Matt Duffer, Ross Duffer, Curtis Gwinn","Winona Ryder, David Harbour, Finn Wolfhard","Dr. Alexei reveals what the Russians have been building, and Eleven sees where Billy has been. Dustin and Erica stage a daring rescue.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDg5NjMxYzgtMmY5NS00NWI5LWI5ZmYtNTkzOTRjNjZmNDc0XkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,14835,tt7911914,tt4574334,episode,True
23,Chapter Seven: The Bite,2019,TV-14,04 Jul 2019,3,7,55 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","With time running out - and an assassin close behind - Hopper's crew races back to Hawkins, where El and the kids are preparing for war.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjg0ZDA2ZDAtNjZjYi00N2VjLWJkMTAtNTlkNmU2YmVjZmE3XkEyXkFqcGdeQXVyNzg2NTk5NzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,15331,tt7911930,tt4574334,episode,True
24,Chapter Eight: The Battle of Starcourt,2019,TV-14,04 Jul 2019,3,8,76 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard","Terror reigns in the food court when the Mind Flayer comes to collect. But down below, in the dark, the future of the world is at stake.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODFlZDE4ZmQtNzc5Ny00Zjg4LWE4ODYtZTlhY2NhNGEyMWMxXkEyXkFqcGdeQXVyODExNTExMTM@._V1_SX300.jpg,[],N/A,N/A,24003,tt7911942,tt4574334,episode,True
25,Chapter One: The Hellfire Club,2022,N/A,27 May 2022,4,1,N/A,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer","Winona Ryder, David Harbour, Finn Wolfhard","""Eleven, Are You Listening?"" 

Watch a teaser for ""Stranger Things"" Season 4.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjc5MTZlNWQtYjNkNi00YjFjLWI2NzYtZjdmMjIxMjIyNTgxXkEyXkFqcGdeQXVyNDA3NDU3MTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11043488,tt4574334,episode,True
26,Episode #4.2,2022,N/A,N/A,4,2,N/A,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer",N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11171932,tt4574334,episode,True
27,Episode #4.3,2022,N/A,N/A,4,3,N/A,"Drama, Fantasy, Horror",Shawn Levy,N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11171954,tt4574334,episode,True
28,Episode #4.4,2022,N/A,N/A,4,4,N/A,"Drama, Fantasy, Horror",Shawn Levy,N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11171978,tt4574334,episode,True
29,Episode #4.5,2022,N/A,N/A,4,5,N/A,"Drama, Fantasy, Horror",N/A,N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11172000,tt4574334,episode,True
30,Episode #4.6,2022,N/A,N/A,4,6,N/A,"Drama, Fantasy, Horror",N/A,Curtis Gwinn,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11172012,tt4574334,episode,True
31,Episode #4.7,2022,N/A,N/A,4,7,N/A,"Drama, Fantasy, Horror",N/A,N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11172022,tt4574334,episode,True
32,Episode #4.8,2022,N/A,N/A,4,8,N/A,"Drama, Fantasy, Horror",N/A,N/A,"Winona Ryder, Millie Bobby Brown, Finn Wolfhard",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt11172054,tt4574334,episode,True
33,Episode #4.9,2022,N/A,N/A,4,9,N/A,"Drama, Fantasy, Horror",N/A,N/A,"Sherman Augustus, Millie Bobby Brown, Cara Buono",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12810166,tt4574334,episode,True
